site_no,site_name,timestamp_utc,flow_cfs,latitude,longitude
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 13:15:00+00:00,3.44,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 13:30:00+00:00,3.44,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 13:45:00+00:00,3.64,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 14:00:00+00:00,3.84,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 14:15:00+00:00,3.84,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 14:30:00+00:00,4.05,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 14:45:00+00:00,4.26,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 15:00:00+00:00,4.26,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 15:15:00+00:00,4.48,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 15:30:00+00:00,4.71,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 15:45:00+00:00,4.71,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 16:00:00+00:00,4.71,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 16:15:00+00:00,5.18,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 16:30:00+00:00,5.43,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 16:45:00+00:00,5.18,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 17:00:00+00:00,5.43,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 17:15:00+00:00,5.43,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 17:30:00+00:00,5.68,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 17:45:00+00:00,5.68,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 18:00:00+00:00,5.68,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 18:15:00+00:00,5.68,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 18:30:00+00:00,5.68,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 18:45:00+00:00,5.94,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 19:00:00+00:00,5.94,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 19:15:00+00:00,5.94,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 19:30:00+00:00,5.68,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 19:45:00+00:00,5.68,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 20:00:00+00:00,5.94,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 20:15:00+00:00,6.21,39.2145479,-78.2880592
1613900,"HOGUE CREEK NEAR HAYFIELD, VA",2025-12-02 20:30:00+00:00,6.21,39.2145479,-78.2880592
